,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Exit Type,Holding Period
0,RELIANCE,Long Closed,1996-02-16,17.64,1996-04-05,16.14,2834.0,49988.304,-4251.0,-8.504,Exit Trigger,49 days
1,RELIANCE,Long Closed,1996-04-24,19.12,1996-06-18,18.64,2615.0,49989.425,-1255.2,-2.511,Exit Trigger,55 days
2,RELIANCE,Long Closed,1996-08-13,16.05,1996-08-16,15.98,3114.0,49988.536,-217.98,-0.436,Exit Trigger,3 days
3,RELIANCE,Long Closed,1996-08-30,16.33,1996-09-17,14.93,3061.0,49990.246,-4285.4,-8.572,Exit Trigger,18 days
4,RELIANCE,Long Closed,1996-11-12,14.19,1996-11-21,14.12,3523.0,49999.314,-246.61,-0.493,Exit Trigger,9 days
5,RELIANCE,Long Closed,1996-12-30,16.23,1997-04-15,20.71,3081.0,49995.091,13802.88,27.608,Exit Trigger,106 days
6,RELIANCE,Long Closed,1997-05-01,23.96,1997-09-03,26.65,2086.0,49979.189,5611.34,11.227,Exit Trigger,125 days
7,RELIANCE,Long Closed,1997-10-13,33.26,1997-11-27,25.22,1503.0,49987.352,-12084.12,-24.174,Exit Trigger,45 days
8,RELIANCE,Long Closed,1998-01-14,25.14,1998-01-30,23.26,1988.0,49984.28,-3737.44,-7.477,Exit Trigger,16 days
9,RELIANCE,Long Closed,1998-03-12,26.61,1998-05-25,27.77,1878.0,49979.019,2178.48,4.359,Exit Trigger,74 days
10,RELIANCE,Long Closed,1998-10-07,17.17,1998-10-14,16.34,2911.0,49995.268,-2416.13,-4.833,Exit Trigger,7 days
11,RELIANCE,Long Closed,1998-11-19,18.75,1999-02-26,21.73,2667.0,49993.105,7947.66,15.898,Exit Trigger,99 days
12,RELIANCE,Long Closed,1999-03-03,23.19,1999-04-06,18.41,2155.0,49981.883,-10300.9,-20.609,Exit Trigger,34 days
13,RELIANCE,Long Closed,1999-05-12,26.15,1999-08-09,27.36,1912.0,49996.349,2313.52,4.627,Exit Trigger,89 days
14,RELIANCE,Long Closed,1999-09-09,29.54,1999-11-25,35.57,1692.0,49976.979,10202.76,20.415,Exit Trigger,77 days
15,RELIANCE,Long Closed,2000-01-04,39.98,2000-03-10,36.21,1250.0,49976.544,-4712.5,-9.429,Exit Trigger,66 days
16,RELIANCE,Long Closed,2000-04-18,45.97,2000-06-06,52.3,1087.0,49968.45,6880.71,13.77,Exit Trigger,49 days
17,RELIANCE,Long Closed,2000-06-14,53.61,2000-08-10,51.37,932.0,49966.952,-2087.68,-4.178,Exit Trigger,57 days
18,RELIANCE,Long Closed,2000-09-13,59.72,2000-10-13,50.32,837.0,49982.758,-7867.8,-15.741,Exit Trigger,30 days
19,RELIANCE,Long Closed,2000-12-07,52.05,2001-03-30,60.98,960.0,49967.878,8572.8,17.157,Exit Trigger,113 days
20,RELIANCE,Long Closed,2001-05-29,61.74,2001-06-28,55.39,809.0,49944.205,-5137.15,-10.286,Exit Trigger,30 days
21,RELIANCE,Long Closed,2001-11-12,40.99,2002-02-12,47.97,1219.0,49963.097,8508.62,17.03,Exit Trigger,92 days
22,RELIANCE,Long Closed,2002-03-06,47.66,2002-03-14,45.96,1049.0,49990.778,-1783.3,-3.567,Exit Trigger,8 days
23,RELIANCE,Long Closed,2002-07-01,41.78,2002-07-10,42.39,1196.0,49973.418,729.56,1.46,Exit Trigger,9 days
